,Year,Julian_collection,Sex,Site,TL_cm,SL_cm,HW_cm,Mass_g,Papilla_cm,Acces_gonad_g,Gonad_g,Liver_g,Trap,Month,Reproductive_Status,Repro_Strategy,GSI,HSI,Fulton_Condition,SiteType,cYear
1568,2011,152,Male,LS,7.79,6.38,0.139,6.293,0.36,0.066,0.14,0.17,NA,June,R,PM,0.022246941,0.027014143,2.423235907,Low contamination,5
16558,2022,167,Male,P27,9.25,7.64,1.67,12.581,0.49,0.12,0.28,0.305,C,June,R,PM,0.022255783,0.024242906,2.82120787,High contamination,16
13709,2018,193,Female,DC,8.57,7.03,1.6,11.411,0.34,NA,0.254,0.384,A,July,NR,NA,0.022259224,0.03365174,3.284412757,Low contamination,12
2294,2011,166,Male,DC,7.86,6.46,0.135,6.513,0.36,0.044,0.145,0.172,NA,June,R,PM,0.022263166,0.026408721,2.415925424,Low contamination,5
3975,2011,194,Male,SI,7.83,6.24,0.15,6.602,0.44,0.02,0.147,0.139,NA,July,R,PM,0.02226598,0.021054226,2.717200907,High contamination,5
11525,2014,197,Male,SI,6.85,5.43,0.86,4.085,0.36,0.035,0.091,0.082,B,July,R,PM,0.022276622,0.020073439,2.551482372,High contamination,8
4925,2012,207,Male,LS,8.04,6.53,0.127,7.764,0.81,0.073,0.173,0.156,NA,July,R,PM,0.022282329,0.020092736,2.78834163,Low contamination,6
1893,2010,159,Male,P27,10.69,8.75,0.22,19.656,0.72,0.189,0.438,0.557,NA,June,R,PM,0.022283272,0.028337403,2.934073469,High contamination,4
16423,2022,140,Male,SI,8.31,6.37,1.33,8.84,0.4,0.075,0.197,0.259,C,May,R,PM,0.022285068,0.029298643,3.420061912,High contamination,16
12425,2016,178,Male,SI,5.73,4.89,0.67,2.333,0.48,0.005,0.052,0.047,B,June,R,SM,0.022288898,0.020145735,1.995207926,High contamination,10
444,2012,124,Female,SI,5.33,4.19,0.088,1.974,0.27,NA,0.044,0.055,NA,May,NR,NA,0.022289767,0.027862209,2.683521502,High contamination,6
10754,2013,204,Male,SI,6.76,5.5,1.03,4.127,0.41,0.021,0.092,0.05,A,July,R,PM,0.022292222,0.012115338,2.480540947,High contamination,7
13164,2017,192,Male,LS,8.05,6.78,1.5,8.208,0.39,0.053,0.183,0.169,C,July,R,PM,0.022295322,0.020589669,2.633590617,Low contamination,11
4754,2007,207,Female,P27,7.87,6.58,0.098,6.324,0.34,NA,0.141,0.206,NA,July,NR,NA,0.022296015,0.03257432,2.219801704,High contamination,1
17002,2022,236,Male,DC,9.49,7.69,1.89,14.217,0.43,0.1,0.317,0.219,C,August,R,PM,0.02229725,0.015404094,3.126287715,Low contamination,16
1412,2006,151,Male,FP,NA,9.51,0.211,23.634,NA,0.17,0.527,0.711,NA,May,R,PM,0.022298384,0.030083778,2.747866822,Low contamination,0
15311,2020,226,Female,GC,7.94,6.47,1.02,7.263,0.3,NA,0.162,0.161,A,August,NR,NA,0.022304833,0.022167149,2.681656839,Low contamination,14
11292,2014,155,Male,FP,9.25,7.41,1.62,10.308,0.46,0.1,0.23,0.268,D,June,R,PM,0.022312767,0.025999224,2.533493451,Low contamination,8
3980,2011,194,Female,LS,6.37,5.37,0.084,3.36,0.32,NA,0.075,0.084,NA,July,NR,NA,0.022321429,0.025,2.16978359,Low contamination,5
13776,2018,206,Female,LS,8.69,7.33,1.25,9.99,0.39,NA,0.223,0.388,B,July,NR,NA,0.022322322,0.038838839,2.536609206,Low contamination,12
3781,2012,193,Male,SI,6.81,5.75,0.107,4.883,0.27,0.034,0.109,0.182,NA,July,R,PM,0.022322343,0.037272169,2.56852141,High contamination,6
4395,2008,199,Male,DC,10.98,8.84,0.169,20.193,0.52,0.104,0.451,0.405,NA,July,R,PM,0.022334472,0.020056455,2.923102539,Low contamination,2
293,2007,115,Male,DC,12.52,10.58,0.191,29.504,0.49,0.095,0.659,0.392,NA,NA,R,PM,0.022335954,0.013286334,2.491287771,Low contamination,1
6565,2010,236,Male,P27,7.56,6.19,0.113,5.417,0.71,0.01,0.121,0.052,NA,August,R,SM,0.022337087,0.009599409,2.283951559,High contamination,4
11946,2015,202,Male,DC,9.2,7.49,1.45,11.05,0.45,0.066,0.247,0.317,A,July,R,PM,0.022352941,0.028687783,2.629764297,Low contamination,9
6237,2006,230,Female,LS,6.66,5.42,0.095,4.025,0.36,NA,0.09,0.09,NA,August,NR,NA,0.022360248,0.022360248,2.527947353,Low contamination,0
3873,2006,194,Female,GC,7,5.8,0.095,4.334,0.35,NA,0.097,0.02,NA,July,NR,NA,0.022381172,0.004614675,2.221288286,Low contamination,0
15897,2021,181,Male,DC,8.81,7.23,1.26,11.392,0.36,0.065,0.255,0.508,B,June,R,PM,0.022384129,0.044592697,3.014290358,Low contamination,15
3402,2007,185,Male,FP,10.28,8.5,0.153,13.79,0.39,0.092,0.309,0.527,NA,July,R,PM,0.022407542,0.038216099,2.245471199,Low contamination,1
5171,2002,213,Male,FP,10.4,8.7,NA,19.636,NA,NA,0.44,NA,NA,August,NA,NA,0.022407822,NA,2.981915041,Low contamination,-4
16473,2022,157,Male,FP,11.21,8.61,1.78,19.677,0.61,0.115,0.441,0.633,D,June,R,PM,0.022411953,0.032169538,3.082828968,Low contamination,16
6054,2004,225,Male,FP,NA,8.33,NA,11.824,NA,0.031,0.265,0.196,NA,August,NA,NA,0.022412043,0.016576455,2.045640987,Low contamination,-2
12964,2017,150,Male,FP,10.89,8.73,2,20.702,0.49,0.173,0.464,0.564,D,May,R,PM,0.022413293,0.027243745,3.111498336,Low contamination,11
1442,2012,151,Female,DC,7.74,6.27,0.104,6.24,0.24,NA,0.14,0.16,NA,May,NR,NA,0.022435897,0.025641026,2.531523523,Low contamination,6
3205,2006,180,Male,SI,10.42,8.81,0.18,15.822,NA,0.094,0.355,0.569,NA,June,R,SM,0.022437113,0.035962584,2.31384176,High contamination,0
13173,2017,192,Female,DC,6.68,5.06,1.12,4.234,0.22,NA,0.095,0.15,A,July,NR,NA,0.022437411,0.035427492,3.268129846,Low contamination,11
1982,2007,163,Male,P27,11.48,9.24,0.21,18.137,0.5,0.227,0.407,0.481,NA,June,R,PM,0.022440315,0.026520373,2.299055944,High contamination,1
15881,2021,181,Male,DC,10.24,7.89,1.93,17.769,0.43,0.122,0.399,0.594,B,June,R,PM,0.022454837,0.033429006,3.617695234,Low contamination,15
12421,2016,178,Male,LS,10.33,8.71,1.58,16.913,0.58,0.122,0.38,0.598,B,June,R,PM,0.022467924,0.035357417,2.559565123,Low contamination,10
14593,2019,199,Male,P27,8.28,6.79,1.26,8.946,0.32,0.054,0.201,0.117,C,July,R,PM,0.022468142,0.013078471,2.85771932,High contamination,13
4940,2012,207,Male,SI,7.49,5.91,0.136,5.161,0.48,0.03,0.116,0.118,NA,July,R,PM,0.022476264,0.022863786,2.500180804,High contamination,6
15945,2021,195,Male,SI,7.72,6,0.85,6.805,0.34,0.042,0.153,0.161,C,July,R,PM,0.022483468,0.023659074,3.150462963,High contamination,15
3324,2005,181,Male,FP,NA,11.71,NA,44.387,NA,0.294,0.998,1.182,NA,June,NA,NA,0.022484061,0.026629419,2.764299581,Low contamination,-1
3821,2012,193,Male,GC,9.06,7.27,0.159,11.246,0.44,0.102,0.253,0.252,NA,July,R,PM,0.022496888,0.022407967,2.926812132,Low contamination,6
14882,2019,184,Male,P27,11.04,9.04,1.79,20.624,0.4,0.117,0.464,0.435,D,July,R,PM,0.022498061,0.021091932,2.791692685,High contamination,13
17010,2022,222,Female,LS,8.59,6.95,0.95,6.311,0.38,NA,0.142,0.046,D,August,NR,NA,0.022500396,0.007288861,1.879939038,Low contamination,16
12169,2016,150,Female,LS,6.8,5.63,0.78,4.355,0.28,NA,0.098,0.1,C,May,NR,NA,0.02250287,0.022962113,2.440411005,Low contamination,10
4798,2011,207,Male,DC,6.93,5.62,0.089,4.22,0.29,0.001,0.095,0.188,NA,July,R,PM,0.022511848,0.044549763,2.37740682,Low contamination,5
2236,2012,165,Male,SI,7.4,5.94,0.116,5.33,0.32,0.02,0.12,0.11,NA,June,R,SM,0.022514071,0.020637899,2.543125977,High contamination,6
17018,2022,222,Male,LS,10.16,8.29,1.76,16.522,0.6,0.091,0.372,0.062,D,August,R,PM,0.022515434,0.003752572,2.900006866,Low contamination,16
1906,2010,159,Female,SI,8.1,6.55,0.114,6.484,0.34,NA,0.146,0.047,NA,June,NR,NA,0.022516965,0.007248612,2.307379906,High contamination,4
11936,2015,188,Male,P27,8.39,6.89,0.98,6.527,0.26,NA,0.147,0.193,A,July,R,SM,0.022521832,0.029569481,1.995519367,High contamination,9
265,2008,113,Male,P27,9.59,7.71,0.155,12.031,0.25,0.028,0.271,0.385,NA,NA,R,SM,0.022525143,0.032000665,2.625056121,High contamination,2
10449,2013,162,Male,FP,9.44,7.71,1.49,12.163,0.47,0.087,0.274,0.315,D,June,R,PM,0.022527337,0.025898216,2.653857335,Low contamination,7
5113,2010,211,Male,P27,10.41,8.45,0.192,13.494,0.91,0.147,0.304,0.211,NA,July,R,PM,0.022528531,0.015636579,2.236508633,High contamination,4
2202,2012,165,Male,LS,8.81,7.09,0.177,11.98,0.43,0.13,0.27,0.31,NA,June,R,PM,0.022537563,0.025876461,3.361383876,Low contamination,6
1640,2011,152,Male,SI,7.37,5.87,0.111,4.08,0.37,0.02,0.092,0.158,NA,June,R,RM,0.02254902,0.03872549,2.017185601,High contamination,5
2882,2008,178,Female,LS,7.11,5.89,0.087,4.608,0.25,NA,0.104,0.077,NA,June,NR,NA,0.022569444,0.016710069,2.255104056,Low contamination,2
11796,2015,118,Female,LS,6.42,5.05,0.83,3.322,0.2,NA,0.075,0.065,C,NA,NR,NA,0.022576761,0.019566526,2.579440377,Low contamination,9
13040,2017,179,Female,LS,5.95,5,0.75,2.346,0.2,NA,0.053,0.058,D,June,NR,NA,0.022591645,0.024722933,1.8768,Low contamination,11
13126,2017,192,Male,SI,6.06,5.35,0.82,3.009,0.34,0.004,0.068,0.048,C,July,R,SM,0.02259887,0.015952144,1.964992249,High contamination,11
988,2010,146,Female,DC,8.26,6.63,0.136,7.389,0.46,NA,0.167,0.182,NA,May,NR,NA,0.022601164,0.024631209,2.5353918,Low contamination,4
10649,2013,190,Male,LS,10.24,8.33,1.64,16.589,0.42,0.093,0.375,0.346,B,July,R,PM,0.022605341,0.020857195,2.870021849,Low contamination,7
3199,2006,180,Female,GC,7.49,5.95,0.1,5.22,NA,NA,0.118,0.114,NA,June,NR,NA,0.022605364,0.02183908,2.47810444,Low contamination,0
14730,2019,212,Male,P27,8.38,6.93,1.33,5.617,0.37,0.054,0.127,NA,A,July,R,PM,0.022609934,NA,1.6877368,High contamination,13
11807,2015,133,Male,LS,10.26,8.12,1.65,15.965,0.45,0.139,0.361,0.371,C,May,R,PM,0.022611964,0.023238334,2.981953282,Low contamination,9
110,2008,113,Male,SI,9.2,7.58,0.117,11.672,0.11,0.021,0.264,0.281,NA,NA,R,SM,0.022618232,0.024074709,2.680017698,High contamination,2
4928,2012,207,Male,LS,8.94,7.12,0.158,9.458,0.41,0.059,0.214,0.156,NA,July,R,PM,0.022626348,0.016493973,2.62035015,Low contamination,6
10555,2013,176,Male,SI,4.87,3.96,0.59,1.635,0.26,0.002,0.037,0.035,C,June,R,SM,0.022629969,0.021406728,2.632886873,High contamination,7
5572,2008,220,Male,P27,7.85,6.16,0.155,7.953,0.49,0.082,0.18,0.172,NA,August,R,PM,0.022632969,0.021627059,3.402427234,High contamination,2
2371,2011,166,Female,SI,8,6.52,0.109,6.67,0.26,NA,0.151,0.138,NA,June,NR,NA,0.022638681,0.020689655,2.406484378,High contamination,5
1819,2010,159,Male,LS,12.88,11.57,0.239,34.584,0.76,0.27,0.783,1.37,NA,June,R,PM,0.022640527,0.039613694,2.232930191,Low contamination,4
13117,2017,192,Male,LS,8.11,6.65,0.9,7.901,0.39,0.058,0.179,0.282,A,July,R,PM,0.02265536,0.035691685,2.686687322,Low contamination,11
2142,2006,165,Female,DC,NA,4.75,0.077,2.734,NA,NA,0.062,0.059,NA,June,NA,NA,0.022677396,0.021580102,2.551042426,Low contamination,0
13031,2017,164,Male,GC,10,8.1,1.84,16.313,0.39,0.03,0.37,0.389,D,June,R,PM,0.022681297,0.023846012,3.069578749,Low contamination,11
4135,2010,197,Female,DC,7.08,5.77,0.1,4.407,0.28,NA,0.1,0.093,NA,July,NR,NA,0.022691173,0.021102791,2.294117253,Low contamination,4
3793,2012,193,Male,SI,7.56,6.14,0.147,6.696,0.42,0.058,0.152,0.275,NA,July,R,PM,0.022700119,0.041069295,2.892746199,High contamination,6
10346,2013,126,Male,LS,11.18,9.03,1.92,19.328,0.58,0.181,0.439,0.779,A,May,R,PM,0.022713162,0.040304222,2.6249659,Low contamination,7
3416,2007,185,Male,P27,8.61,7.11,0.132,8.496,0.46,0.046,0.193,0.18,NA,July,R,PM,0.022716573,0.021186441,2.36377264,High contamination,1
11789,2014,303,Female,LS,8.34,7.05,1.16,8.318,0.29,NA,0.189,0.436,A,October,NR,NA,0.022721808,0.052416446,2.373840664,Low contamination,8
15649,2021,139,Male,DC,10.56,8.5,1.4,17.029,0.53,0.1,0.387,0.363,D,May,R,PM,0.022725938,0.021316578,2.772888256,Low contamination,15
3152,2012,179,Male,SI,6.88,5.77,0.122,3.96,0.39,NA,0.09,0.06,NA,June,R,PM,0.022727273,0.015151515,2.061425986,High contamination,6
12978,2017,150,Male,LS,9.69,7.5,1.73,13.198,0.35,0.087,0.3,0.458,B,May,R,PM,0.022730717,0.034702228,3.128414815,Low contamination,11
470,2005,131,Male,DC,NA,10.43,NA,34.53,NA,0.097,0.785,1.182,NA,May,NA,NA,0.022733855,0.034231103,3.043292201,Low contamination,-1
275,2007,115,Male,LS,15.59,12.95,0.296,57.27,0.69,0.126,1.302,2.372,NA,NA,R,PM,0.022734416,0.041417845,2.637047046,Low contamination,1
15730,2021,139,Male,SI,8.69,7.16,1.46,10.987,0.44,0.097,0.25,0.353,C,May,R,PM,0.022754164,0.03212888,2.993229781,High contamination,15
10514,2013,176,Male,DC,8.2,6.77,1.47,9.273,0.41,0.05,0.211,0.209,D,June,R,PM,0.022754233,0.022538553,2.988506837,Low contamination,7
1099,2010,146,Male,SI,8.89,7.03,0.155,9.097,0.59,0.115,0.207,0.27,NA,May,R,PM,0.022754754,0.029680114,2.618377254,High contamination,4
13828,2018,157,Male,FP,10.35,8.1,1.8,15.02,0.58,0.12,0.342,0.481,D,June,R,PM,0.02276964,0.032023968,2.826277988,Low contamination,12
4107,2009,197,Female,GC,7.46,6.13,0.087,5.709,0.33,NA,0.13,0.051,NA,July,NR,NA,0.022771063,0.008933263,2.478441197,Low contamination,3
2400,2008,169,Male,P27,9.23,7.44,0.144,10.1,0.3,0.1,0.23,0.5,NA,June,R,PM,0.022772277,0.04950495,2.452463583,High contamination,2
13727,2018,193,Female,DC,6.37,4.89,0.88,3.469,0.31,NA,0.079,0.085,C,July,NR,NA,0.022773133,0.024502739,2.966727945,Low contamination,12
410,2012,124,Male,DC,9.05,7.61,0.166,10.975,0.36,0.091,0.25,0.182,NA,May,R,PM,0.022779043,0.016583144,2.490293635,Low contamination,6
6214,2006,228,Male,SI,8.88,7.42,0.147,7.769,0.41,0.054,0.177,0.106,NA,August,R,PM,0.022782855,0.01364397,1.901749915,High contamination,0
3655,2007,192,Female,SI,7.94,6.72,0.1,5.969,0.31,NA,0.136,0.142,NA,July,NR,NA,0.022784386,0.023789579,1.96695199,High contamination,1
13919,2018,143,Male,P27,9.86,8.04,1.66,13.341,0.42,0.076,0.304,0.399,B,May,R,RM,0.022786898,0.029907803,2.566966718,High contamination,12
15931,2021,181,Male,SI,6.93,5.47,0.95,4.738,0.42,0.033,0.108,0.155,D,June,R,PM,0.022794428,0.032714225,2.894896741,High contamination,15
14834,2019,156,Male,SI,5.42,4.41,0.57,1.623,0.21,0.003,0.037,0.014,C,June,R,SM,0.022797289,0.008626001,1.892355607,High contamination,13
15670,2021,139,Male,DC,9.23,7.31,1.26,12.413,0.39,0.046,0.283,0.176,C,May,R,PM,0.022798679,0.014178684,3.177785833,Low contamination,15
3017,2011,179,Male,FP,11.32,9.35,0.216,19.601,0.72,0.162,0.447,0.355,NA,June,R,PM,0.022804959,0.018111321,2.39796807,Low contamination,5
5585,2008,220,Male,SI,6.62,5.36,0.102,4.341,0.45,0.007,0.099,0.074,NA,August,R,SM,0.022805805,0.017046763,2.819002213,High contamination,2
15033,2020,169,Female,DC,9.23,7.59,1.17,10.867,0.38,NA,0.248,0.085,D,June,NR,NA,0.022821386,0.007821846,2.485331586,Low contamination,14
15810,2021,153,Male,DC,9.04,7.55,1.4,12.531,0.41,0.127,0.286,0.273,C,June,R,PM,0.022823398,0.021785971,2.911688258,Low contamination,15
2287,2011,166,Male,DC,8.22,6.84,0.143,8.015,0.27,0.04,0.183,0.227,NA,June,R,PM,0.02283219,0.028321896,2.504581807,Low contamination,5
3916,2006,194,Male,SI,10.23,8.38,0.166,15.541,0.38,0.122,0.355,0.371,NA,July,R,PM,0.022842803,0.023872338,2.640869279,High contamination,0
14780,2019,227,Male,LS,7.05,5.6,1.05,5.295,0.48,0.009,0.121,0.059,D,August,R,SM,0.022851747,0.011142587,3.01510113,Low contamination,13
5426,2010,215,Female,SI,6.81,5.53,0.094,4.328,0.41,NA,0.099,0.158,NA,August,NR,NA,0.022874307,0.03650647,2.559244969,High contamination,4
11489,2014,197,Male,SI,7.32,5.96,1,5.768,0.41,0.036,0.132,0.166,C,July,R,PM,0.022884882,0.028779473,2.724497869,High contamination,8
11492,2014,197,Male,SI,7.02,5.66,0.89,4.457,0.4,0.042,0.102,0.153,C,July,R,PM,0.022885349,0.034328023,2.458064873,High contamination,8
762,2011,138,Male,FP,13.26,10.63,0.248,35.83,0.56,0.19,0.82,0.748,NA,May,R,RM,0.02288585,0.020876361,2.982957149,Low contamination,5
15756,2021,153,Male,SI,6.88,5.71,0.88,4.805,0.29,0.015,0.11,0.153,B,June,R,SM,0.02289282,0.031841831,2.580982544,High contamination,15
14745,2019,212,Male,DC,9.23,7.5,1.47,10.698,0.42,0.117,0.245,0.161,D,July,R,PM,0.022901477,0.015049542,2.535822222,Low contamination,13
14369,2019,241,Male,P27,9.22,7.38,1.57,10.086,0.48,0.07,0.231,0.203,D,August,R,PM,0.022903034,0.020126909,2.509284352,High contamination,13
14670,2019,212,Male,SI,7.53,6.12,1.17,6.33,0.34,0.04,0.145,0.176,D,July,R,PM,0.022906793,0.027804107,2.761527953,High contamination,13
15939,2021,195,Male,SI,6.85,4.93,0.76,4.54,0.34,0.028,0.104,0.165,D,July,R,PM,0.022907489,0.036343612,3.788917029,High contamination,15
4064,2008,196,Male,SI,8,6.58,0.126,6.11,0.5,0.04,0.14,0.15,NA,July,R,PM,0.022913257,0.024549918,2.144685074,High contamination,2
1854,2010,159,Female,LS,8.46,6.85,0.115,7.288,0.4,NA,0.167,0.138,NA,June,NR,NA,0.02291438,0.018935236,2.267444415,Low contamination,4
1986,2007,163,Male,SI,10.4,8.47,0.15,11.299,0.48,0.095,0.259,0.301,NA,June,R,PM,0.022922383,0.026639526,1.859472576,High contamination,1
3994,2011,194,Male,LS,10.2,8.05,0.183,22.03,0.36,0.109,0.505,0.514,NA,July,R,PM,0.022923286,0.02333182,4.223056152,Low contamination,5
16433,2022,140,Male,FP,9.79,7.95,1.83,16.378,0.46,0.055,0.376,0.43,B,May,R,PM,0.022957626,0.026254732,3.259563761,Low contamination,16
2317,2011,166,Female,LS,7.66,6.25,0.11,5.921,0.27,NA,0.136,0.174,NA,June,NR,NA,0.022969093,0.029386928,2.4252416,Low contamination,5
15306,2020,226,Male,SI,8.12,6.3,1.35,7.575,0.44,0.076,0.174,0.17,C,August,R,PM,0.022970297,0.022442244,3.029430467,High contamination,14
10487,2013,162,Male,DC,8.27,6.68,1.2,8.75,0.43,0.048,0.201,0.211,C,June,R,SM,0.022971429,0.024114286,2.935476889,Low contamination,7
864,2007,143,Male,SI,5.69,4.66,0.073,2.046,0.37,0.006,0.047,0,NA,May,R,RM,0.022971652,0,2.021845097,High contamination,1
764,2011,138,Male,FP,11,8.58,0.195,21.152,0.59,0.161,0.486,0.69,NA,May,R,RM,0.022976551,0.032621029,3.348802801,Low contamination,5
15975,2021,195,Female,SI,7.35,5.84,1.01,5.744,0.32,NA,0.132,0.139,B,July,NR,NA,0.022980501,0.024199164,2.883871399,High contamination,15
14108,2019,142,Female,FP,9.66,7.89,1.3,14.53,0.31,NA,0.334,0.34,A,May,R,NA,0.022986924,0.023399862,2.958248171,Low contamination,13
567,2007,136,Male,P27,10.05,8.5,0.19,14.993,0.43,0.079,0.345,0.257,NA,May,R,PM,0.023010738,0.017141333,2.441359658,High contamination,1
4854,2011,207,Male,FP,8.56,6.95,0.129,8.17,0.52,0.084,0.188,0.235,NA,July,R,PM,0.023011016,0.02876377,2.433703366,Low contamination,5
12416,2016,178,Male,SI,9.28,7.45,1.39,10.082,0.46,0.057,0.232,0.231,C,June,R,PM,0.023011307,0.022912121,2.43824799,High contamination,10
317,2005,117,Male,LS,NA,9.1,NA,21.77,NA,0.049,0.501,0.598,NA,NA,NA,NA,0.023013321,0.027468994,2.888911596,Low contamination,-1
4537,2006,201,Male,P27,9.3,7.62,0.165,11.993,0.49,0.106,0.276,0.228,NA,July,R,PM,0.023013424,0.01901109,2.710584307,High contamination,0
3744,2006,193,Male,LS,7.69,5.9,0.12,6.039,NA,0.056,0.139,0.041,NA,July,R,PM,0.023017056,0.006789204,2.940417472,Low contamination,0
606,2006,137,Male,FP,NA,11.03,0.242,41.82,NA,0.221,0.963,2.229,NA,May,R,PM,0.02302726,0.053299857,3.116430824,Low contamination,0
15794,2021,153,Male,FP,6.71,5.33,0.93,4.166,0.33,0.022,0.096,0.072,B,June,NR,NA,0.023043687,0.017282765,2.751298038,Low contamination,15
11981,2015,216,Male,P27,7.75,6.72,1.43,6.117,0.53,0.029,0.141,0.137,C,August,R,PM,0.023050515,0.0223966,2.015722118,High contamination,9
1208,2004,148,Male,FP,NA,10.64,NA,38.826,NA,0.23,0.895,NA,NA,May,NA,NA,0.023051563,NA,3.223278017,Low contamination,-2
16450,2022,140,Male,DC,7.5,6.01,1.09,6.073,0.32,0.039,0.14,0.259,C,May,R,SM,0.023052857,0.042647785,2.797562933,Low contamination,16
2480,2009,170,Male,LS,8.48,6.65,0.116,7.938,0.45,0.101,0.183,0.253,NA,June,R,PM,0.023053666,0.031872008,2.699268948,Low contamination,3
995,2010,146,Male,LS,11.53,9.37,0.227,23.727,0.59,0.26,0.547,0.737,NA,May,R,PM,0.023053905,0.03106166,2.884191268,Low contamination,4
15124,2020,197,Male,LS,11.35,9.46,1.86,24.245,0.65,0.187,0.559,1.169,D,July,R,PM,0.0230563,0.048216127,2.863840188,Low contamination,14
3740,2006,193,Male,LS,10.81,8.7,0.156,18.302,NA,0.12,0.422,0.433,NA,July,R,PM,0.023057589,0.023658617,2.779334339,Low contamination,0
477,2005,131,Female,DC,NA,6.88,NA,8.275,NA,NA,0.191,NA,NA,May,NA,NA,0.023081571,NA,2.540988431,Low contamination,-1
4981,2005,208,Male,DC,NA,11.07,NA,32.567,NA,0.163,0.752,0.914,NA,July,NA,NA,0.023090859,0.028065219,2.400683411,Low contamination,-1
11251,2014,127,Male,P27,8.51,6.89,1.35,8.353,0.36,0.016,0.193,0.165,B,May,R,PM,0.023105471,0.019753382,2.553787846,High contamination,8
11399,2014,169,Male,SI,8.19,6.67,1.01,7.182,0.52,0.062,0.166,0.26,C,June,R,PM,0.023113339,0.036201615,2.420292745,High contamination,8
2428,2008,170,Male,LS,12.25,10.04,0.16,29.85,0.43,0.27,0.69,1,NA,June,R,PM,0.023115578,0.033500838,2.949464661,Low contamination,2
15746,2021,153,Male,FP,10.47,8.45,1.61,20.505,0.5,0.151,0.474,0.782,C,June,R,PM,0.023116313,0.03813704,3.398518566,Low contamination,15
2420,2008,170,Male,LS,10,8.02,0.175,13.41,0.53,0.15,0.31,0.38,NA,June,R,PM,0.023117077,0.028337062,2.59959488,Low contamination,2
14949,2020,169,Male,GC,8.93,6.77,1.45,10.165,0.37,0.067,0.235,0.355,D,June,R,PM,0.023118544,0.034923758,3.27598102,Low contamination,14
392,2011,124,Male,P27,9.9,8.02,0.17,16.13,0.4,0.026,0.373,0.512,NA,May,R,RM,0.023124613,0.031742095,3.126880345,High contamination,5
15922,2021,181,Male,SI,7.25,5.76,1.18,6.182,0.47,0.068,0.143,0.148,D,June,R,PM,0.023131673,0.023940472,3.234905143,High contamination,15
15581,2020,303,Female,LS,7.62,6.11,1.01,6.652,0.2,NA,0.154,0.289,B,October,NR,NA,0.023150932,0.04344558,2.916275906,Low contamination,14
16584,2022,180,Male,DC,8.65,6.48,1.48,9.804,0.47,0.095,0.227,0.341,B,June,R,PM,0.023153815,0.034781722,3.603116338,Low contamination,16
14578,2019,156,Female,P27,6.57,4.91,0.72,3.323,0.4,NA,0.077,NA,D,June,NR,NA,0.023171833,NA,2.807280862,High contamination,13
16098,2021,209,Female,DC,6.32,4.89,0.66,3.366,0.22,NA,0.078,0.097,D,July,NR,NA,0.023172906,0.028817588,2.878641183,Low contamination,15
2604,2008,171,Male,SI,8.33,6.83,0.159,8.63,0.49,0.05,0.2,0.13,NA,June,R,SM,0.023174971,0.015063731,2.708623766,High contamination,2
11290,2014,141,Male,FP,9.35,7.61,1.58,12.425,0.4,0.051,0.288,0.496,C,May,R,PM,0.023179074,0.039919517,2.819307373,Low contamination,8
14606,2019,199,Female,FP,9.31,7.22,1.13,12.681,0.36,NA,0.294,0.454,A,July,NR,NA,0.023184291,0.035801593,3.369317284,Low contamination,13
16718,2022,195,Male,SI,7.19,5.62,1.47,4.96,0.44,0.045,0.115,0.126,C,July,R,PM,0.023185484,0.025403226,2.794298064,High contamination,16
1103,2010,146,Male,SI,11.25,9.22,0.21,21.046,0.62,0.156,0.488,0.689,NA,May,R,PM,0.023187304,0.032737812,2.685201016,High contamination,4
15062,2020,182,Female,SI,8.18,6.74,0.84,6.379,0.26,NA,0.148,0.111,B,July,NR,NA,0.023201129,0.017400847,2.083401212,High contamination,14
16841,2022,207,Male,LS,9.7,7.77,0.71,14.438,0.43,0.119,0.335,0.39,D,July,R,PM,0.02320266,0.027012052,3.077825412,Low contamination,16
16118,2021,236,Female,SI,8.22,6.18,0.92,6.851,0.31,NA,0.159,0.187,D,August,NR,NA,0.023208291,0.027295285,2.902609032,High contamination,15
2323,2011,166,Male,LS,10.4,8.34,0.161,18.009,0.42,0.117,0.418,0.375,NA,June,R,PM,0.023210617,0.020822922,3.104498442,Low contamination,5
5736,2012,221,Female,P27,6.46,5.5,0.101,3.274,0.29,NA,0.076,0.009,NA,August,NR,NA,0.023213195,0.002748931,1.967843727,High contamination,6
15705,2021,139,Male,LS,10.09,8.07,1.65,16.525,0.46,0.13,0.384,0.237,B,May,R,PM,0.023237519,0.014341906,3.144277471,Low contamination,15
2370,2011,166,Male,SI,8.02,6.55,0.12,7.228,0.45,0.034,0.168,0.204,NA,June,R,PM,0.023242944,0.028223575,2.572137872,High contamination,5
896,2007,143,Female,SI,5.81,5.01,0.08,2.28,0.24,NA,0.053,0,NA,May,NR,NA,0.023245614,0,1.813099631,High contamination,1
10689,2013,204,Male,P27,7.26,5.59,1.21,5.506,0.33,0.065,0.128,0.129,A,July,R,PM,0.023247367,0.023428987,3.15210578,High contamination,7
3105,2012,179,Male,P27,8.88,7.11,0.184,10.75,0.4,0.06,0.25,0.32,NA,June,R,PM,0.023255814,0.029767442,2.990884638,High contamination,6
565,2007,136,Male,P27,10.67,9.03,0.199,17.494,0.52,0.124,0.407,0.47,NA,May,R,PM,0.023265119,0.026866354,2.375887492,High contamination,1
